team,year,athletes,events,age,height,weight,prev_medals,medals
CYP,2012,13,12,25.8,178.0,73.5,0.0,1
CYP,2016,21,19,24.5,175.8,68.2,1.0,0
CZE,2000,162,96,25.2,179.3,75.7,13.0,9
CZE,2004,171,104,26.5,180.6,75.1,9.0,13
CZE,2008,158,105,26.1,180.5,75.8,13.0,7
CZE,2012,159,99,26.8,179.5,74.5,7.0,14
CZE,2016,135,92,27.0,180.1,74.5,14.0,15
DEN,1964,71,40,24.1,177.4,72.6,23.0,12
DEN,1968,93,53,26.1,176.5,71.5,12.0,17
DEN,1972,155,73,26.3,180.6,75.0,17.0,1
DEN,1976,81,40,26.8,177.5,71.9,1.0,8
DEN,1980,60,30,26.6,181.9,78.7,8.0,8
DEN,1984,74,33,25.1,182.5,78.0,8.0,13
DEN,1988,130,73,23.9,181.3,73.7,13.0,7
DEN,1992,144,67,25.0,181.4,74.6,7.0,14
DEN,1996,145,66,25.8,179.8,72.0,14.0,23
DEN,2000,124,55,27.8,179.8,73.2,23.0,25
DEN,2004,115,59,27.4,178.9,71.1,25.0,29
DEN,2008,108,62,26.5,183.1,77.6,29.0,19
DEN,2012,149,69,26.9,180.5,74.9,19.0,16
DEN,2016,143,67,26.4,180.9,74.7,16.0,41
DJI,1988,6,5,24.2,170.7,53.8,0.0,1
DJI,1992,8,7,25.9,174.7,58.2,1.0,0
DJI,1996,5,4,32.4,174.2,60.2,0.0,0
DJI,2000,2,2,25.0,164.0,55.0,0.0,0
DJI,2012,4,4,19.5,173.5,61.5,0.0,0
DJI,2016,8,7,21.9,175.6,61.8,0.0,0
DMA,2000,4,4,22.2,176.8,66.2,0.0,0
DMA,2004,2,2,22.0,171.5,63.5,0.0,0
DMA,2008,2,2,25.0,175.5,73.0,0.0,0
DMA,2012,2,2,21.5,174.0,61.5,0.0,0
DMA,2016,2,2,25.0,179.0,74.0,0.0,0
DOM,1968,24,16,26.1,167.8,68.8,0.0,0
DOM,1972,5,4,29.4,165.8,78.8,0.0,0
DOM,1976,11,10,20.8,166.9,56.7,0.0,0
DOM,1980,7,7,21.8,173.8,69.7,0.0,0
DOM,1984,24,20,23.8,172.7,70.7,0.0,1
DOM,1988,18,15,24.8,170.9,74.7,1.0,0
DOM,1992,32,13,22.8,159.3,58.8,0.0,0
DOM,1996,16,16,23.5,173.5,64.8,0.0,0
DOM,2000,13,13,23.0,178.4,80.7,0.0,0
DOM,2004,33,22,24.4,177.8,70.1,0.0,1
DOM,2008,27,21,25.4,167.3,66.3,1.0,2
DOM,2012,36,21,24.5,174.6,64.2,2.0,2
DOM,2016,30,22,25.7,172.5,63.8,2.0,1
ECU,1972,4,4,18.5,176.5,60.8,0.0,0
ECU,1976,8,8,21.4,176.3,72.7,0.0,0
ECU,1980,16,13,19.8,174.2,68.1,0.0,0
ECU,1984,15,14,28.1,172.1,71.9,0.0,0
ECU,1988,15,15,26.1,170.0,64.9,0.0,0
ECU,1992,15,15,26.0,162.6,57.9,0.0,0
ECU,1996,28,18,24.1,176.0,72.1,0.0,1
ECU,2000,11,11,27.7,171.4,73.3,1.0,0
ECU,2004,18,15,27.9,170.1,65.9,0.0,0
ECU,2008,26,23,26.2,170.4,66.6,0.0,1
ECU,2012,36,34,25.0,171.2,66.3,1.0,0
ECU,2016,40,29,27.5,169.9,65.2,0.0,0
EGY,1964,83,35,25.4,178.8,75.8,5.0,0
EGY,1968,35,18,25.8,175.8,74.4,0.0,0
EGY,1972,26,16,23.5,175.3,71.4,0.0,0
EGY,1976,26,7,24.7,183.2,74.2,0.0,0
EGY,1984,148,74,24.2,178.4,77.9,0.0,1
EGY,1988,59,36,23.7,181.8,81.7,1.0,0
EGY,1992,83,32,23.8,178.7,80.4,0.0,0
EGY,1996,33,17,24.8,186.5,88.6,0.0,0
EGY,2000,103,64,24.7,180.8,79.7,0.0,0
EGY,2004,104,48,25.0,179.0,78.9,0.0,5
EGY,2008,116,68,24.9,178.1,76.3,5.0,1
EGY,2012,132,87,24.1,173.4,70.9,1.0,2
EGY,2016,137,87,24.5,176.8,75.0,2.0,3
ERI,2004,5,3,23.2,162.6,51.8,0.0,1
ERI,2008,11,6,25.0,168.3,54.8,1.0,0
ERI,2012,12,7,24.2,174.1,59.6,0.0,0
ERI,2016,12,6,26.2,172.0,56.3,0.0,0
ESA,1972,18,12,30.8,172.9,71.0,0.0,0
ESA,1984,15,15,21.9,170.6,67.1,0.0,0
ESA,1988,7,7,23.7,166.3,61.3,0.0,0
ESA,1992,6,6,19.8,181.5,86.0,0.0,0
ESA,1996,10,10,24.7,171.3,62.7,0.0,0
ESA,2000,10,10,24.5,170.1,64.3,0.0,0
ESA,2004,9,9,23.7,164.6,60.4,0.0,0
ESA,2008,14,14,25.2,166.3,61.4,0.0,0
ESA,2012,11,11,23.3,169.3,65.1,0.0,0
ESA,2016,10,10,22.5,167.2,64.2,0.0,0
ESP,1964,67,35,23.9,173.5,69.0,14.0,0
ESP,1968,137,50,23.9,176.6,72.1,0.0,0
ESP,1972,162,59,24.6,174.7,72.7,0.0,1
ESP,1976,160,68,23.0,171.8,68.5,1.0,6
ESP,1980,211,75,23.0,176.9,71.9,6.0,24
ESP,1984,257,104,23.5,174.5,68.9,24.0,19
ESP,1988,317,130,23.8,175.5,69.3,19.0,5
ESP,1992,537,195,24.3,177.4,71.4,5.0,69
ESP,1996,384,157,25.1,173.7,67.3,69.0,66
ESP,2000,431,165,25.6,173.9,68.2,66.0,42
ESP,2004,423,155,26.0,173.5,68.6,42.0,30
ESP,2008,355,147,26.7,175.5,70.2,30.0,70
ESP,2012,339,135,26.5,176.3,70.9,70.0,63
ESP,2016,363,146,27.7,176.4,71.1,63.0,45
EST,1992,46,35,24.1,182.8,80.5,7.0,3
EST,1996,52,36,27.4,183.4,81.7,3.0,0
EST,2000,41,29,27.6,185.4,84.5,0.0,3
EST,2004,45,34,25.9,183.8,82.8,3.0,3
EST,2008,53,42,25.0,183.8,82.0,3.0,3
EST,2012,36,30,27.3,183.0,85.0,3.0,2
EST,2016,49,31,27.5,180.0,78.0,2.0,4
ETH,1964,19,11,24.6,170.8,60.5,1.0,1
ETH,1968,26,13,26.7,173.6,60.1,1.0,2
ETH,1972,40,20,26.4,174.3,60.8,2.0,2
ETH,1980,48,26,25.5,173.0,59.1,2.0,4
ETH,1992,24,11,21.7,167.3,56.5,4.0,3
ETH,1996,19,10,22.9,165.4,53.3,3.0,3
ETH,2000,27,11,22.9,167.3,53.3,3.0,8
ETH,2004,27,12,22.9,166.8,52.2,8.0,7
ETH,2008,29,10,23.9,166.1,51.9,7.0,7
ETH,2012,34,14,23.8,170.8,54.8,7.0,7
ETH,2016,38,16,23.4,170.0,55.7,7.0,8
FIJ,1972,4,4,23.5,167.8,64.5,0.0,0
FIJ,1976,5,5,24.0,167.0,56.0,0.0,0
FIJ,1984,26,22,25.2,177.7,74.4,0.0,0
FIJ,1988,41,31,24.0,176.5,70.0,0.0,0
FIJ,1992,36,32,22.8,178.7,76.3,0.0,0
FIJ,1996,21,14,23.8,177.5,78.4,0.0,0
FIJ,2000,9,9,24.6,176.2,79.7,0.0,0
FIJ,2004,9,9,26.9,177.8,79.0,0.0,0
FIJ,2008,6,6,30.8,181.0,76.7,0.0,0
FIJ,2012,9,9,25.1,175.6,80.0,0.0,0
FIJ,2016,53,14,24.9,177.6,80.5,0.0,13
FIN,1964,151,64,25.9,176.9,71.5,6.0,5
FIN,1968,126,61,25.1,174.0,70.8,5.0,4
FIN,1972,133,75,26.9,177.3,74.7,4.0,10
FIN,1976,108,63,26.5,180.3,77.1,10.0,6
FIN,1980,125,71,25.8,179.4,75.1,6.0,9
FIN,1984,107,76,26.5,178.3,73.2,9.0,12
FIN,1988,101,66,27.7,177.4,74.7,12.0,4
FIN,1992,130,85,25.5,178.1,73.7,4.0,7
FIN,1996,105,74,26.0,177.8,73.8,7.0,4
FIN,2000,88,64,26.2,176.6,73.6,4.0,5
FIN,2004,67,53,27.3,179.4,78.4,5.0,2
FIN,2008,70,55,27.3,177.7,75.4,2.0,5
FIN,2012,69,61,27.5,175.0,69.3,5.0,5
FIN,2016,67,55,26.4,176.1,70.5,5.0,1
FRA,1964,214,89,24.8,174.8,69.7,12.0,31
FRA,1968,311,107,24.2,173.6,68.6,31.0,27
FRA,1972,356,132,24.4,175.4,70.6,27.0,22
FRA,1976,302,128,24.5,174.3,68.4,22.0,20
FRA,1980,200,85,23.7,175.9,68.9,20.0,29
FRA,1984,354,139,24.3,176.5,69.2,29.0,67
FRA,1988,413,167,24.5,176.2,68.8,67.0,29
FRA,1992,486,196,25.5,176.0,69.5,29.0,57
FRA,1996,453,183,25.3,174.5,67.2,57.0,51
FRA,2000,470,196,26.0,176.2,69.5,51.0,66
FRA,2004,461,193,26.2,176.1,69.2,66.0,53
FRA,2008,448,205,26.4,177.0,69.9,53.0,77
FRA,2012,426,188,26.6,177.4,70.8,77.0,82
FRA,2016,512,202,27.1,177.9,72.4,82.0,96
FRG,1972,587,183,24.6,177.2,71.8,51.0,102
FRG,1976,452,163,24.2,177.1,71.2,102.0,78
FRG,1984,571,194,23.9,178.7,72.2,78.0,158
FRG,1988,516,194,24.7,179.5,73.2,158.0,115
FSM,2004,5,5,22.6,164.0,58.4,0.0,0
FSM,2008,5,5,22.6,163.2,62.4,0.0,0
FSM,2012,6,6,27.5,165.5,64.2,0.0,0
FSM,2016,5,5,23.8,154.6,64.0,0.0,0
GAB,1984,4,4,21.2,167.5,65.2,0.0,0
GAB,1988,2,2,21.5,164.0,57.0,0.0,0
GAB,1992,5,5,23.8,175.0,69.0,0.0,0
GAB,1996,9,6,27.1,171.1,65.8,0.0,0
GAB,2000,6,6,27.5,174.0,80.3,0.0,0
GAB,2004,5,5,24.0,169.4,69.6,0.0,0
GAB,2008,4,4,25.5,168.5,64.5,0.0,0
GAB,2012,21,7,21.9,172.8,71.6,0.0,1
GAB,2016,6,6,26.5,174.2,75.3,1.0,0
GAM,1988,6,6,23.5,170.3,69.8,0.0,0
GAM,1992,8,5,23.6,171.0,62.0,0.0,0
GAM,1996,12,6,22.8,170.9,63.0,0.0,0
GAM,2000,2,2,22.0,165.0,55.5,0.0,0
GAM,2004,3,3,22.0,181.7,65.3,0.0,0
GAM,2008,3,3,21.3,167.0,77.5,0.0,0
GAM,2012,2,2,22.0,156.0,68.0,0.0,0
GBR,1964,301,124,25.0,175.0,69.9,28.0,28
GBR,1968,328,133,24.8,175.9,69.9,28.0,19
GBR,1972,433,159,24.3,174.1,68.6,19.0,29
GBR,1976,353,148,24.3,175.1,68.9,29.0,32
GBR,1980,328,145,22.8,175.5,69.4,32.0,47
GBR,1984,509,190,24.5,174.4,69.3,47.0,71
GBR,1988,472,191,25.8,176.7,71.0,71.0,54
GBR,1992,512,203,25.9,176.5,70.9,54.0,50
GBR,1996,391,175,26.7,177.3,72.4,50.0,26
GBR,2000,415,179,26.4,176.6,71.7,26.0,54
GBR,2004,360,162,26.3,176.6,71.8,54.0,57
GBR,2008,420,185,25.3,176.8,71.4,57.0,81
GBR,2012,684,249,25.9,177.8,72.5,81.0,126
GBR,2016,478,198,26.7,176.6,71.2,126.0,145
GBS,2000,3,3,26.3,165.5,57.5,0.0,0
GBS,2004,3,3,25.0,165.0,60.3,0.0,0
GBS,2008,3,3,23.7,168.3,69.7,0.0,0
GBS,2012,4,4,25.8,168.5,68.2,0.0,0
GBS,2016,5,5,27.0,172.0,76.0,0.0,0
GDR,1972,454,161,23.3,175.2,69.8,52.0,151
GDR,1976,407,139,21.9,174.1,69.5,151.0,195
GDR,1980,495,167,22.7,176.7,71.4,195.0,264
GDR,1988,402,157,23.1,177.3,71.8,264.0,181
GEO,2000,47,41,25.4,173.3,74.4,2.0,6
GEO,2004,39,38,25.4,174.0,76.9,6.0,4
GEO,2008,38,35,26.2,175.9,76.5,4.0,6
GEO,2012,36,35,25.6,177.1,78.1,6.0,7
GEO,2016,45,40,26.8,176.7,82.4,7.0,7
GEQ,1988,7,7,22.3,170.5,68.5,0.0,0
GEQ,1992,8,8,21.4,176.0,77.0,0.0,0
GEQ,1996,8,5,25.2,170.0,67.7,0.0,0
GEQ,2000,4,4,21.5,164.3,56.7,0.0,0
GEQ,2004,2,2,20.5,171.5,65.5,0.0,0
GEQ,2008,3,3,28.7,162.5,73.3,0.0,0
GEQ,2012,2,2,26.0,173.0,65.5,0.0,0
GEQ,2016,1,1,27.0,170.0,63.0,0.0,0
GER,1964,478,159,24.9,174.8,71.2,89.0,116
GER,1992,653,237,24.6,178.8,72.3,116.0,198
GER,1996,626,234,26.4,179.7,74.1,198.0,124
GER,2000,567,234,26.9,179.4,73.6,124.0,118
GER,2004,592,228,26.9,179.8,74.7,118.0,149
GER,2008,558,207,26.8,178.5,73.5,149.0,99
GER,2012,510,213,26.6,178.3,73.0,99.0,94
GER,2016,536,217,26.5,178.2,73.0,94.0,159
GHA,1964,40,18,24.7,174.2,66.2,1.0,1
GHA,1968,36,18,26.0,173.7,67.5,1.0,0
GHA,1972,41,17,26.5,175.4,68.9,0.0,1
GHA,1984,27,17,23.0,168.9,60.6,1.0,0
GHA,1988,21,13,20.8,171.4,66.8,0.0,0
GHA,1992,41,13,21.5,177.0,69.4,0.0,20
GHA,1996,40,15,22.0,176.3,72.9,20.0,0
GHA,2000,28,13,23.2,171.5,67.5,0.0,0
GHA,2004,29,9,23.5,176.6,74.4,0.0,0
GHA,2008,9,9,23.4,174.2,64.4,0.0,0
GHA,2012,7,7,22.7,170.2,65.0,0.0,0
GHA,2016,15,12,22.9,170.1,64.1,0.0,0
GRE,1964,19,16,27.7,174.3,75.2,3.0,0
GRE,1968,44,27,26.1,175.4,75.9,0.0,1
GRE,1972,66,46,24.4,175.5,74.7,1.0,2
GRE,1976,40,34,26.0,174.6,72.4,2.0,0
GRE,1980,45,31,23.7,177.3,77.5,0.0,5
GRE,1984,73,49,24.2,179.2,81.8,5.0,2
GRE,1988,72,43,23.5,176.7,74.9,2.0,1
GRE,1992,76,53,24.9,178.1,78.9,1.0,2
GRE,1996,180,94,22.3,172.1,68.6,2.0,8
GRE,2000,175,114,24.4,175.5,69.8,8.0,18
GRE,2004,499,215,25.6,176.6,71.6,18.0,31
GRE,2008,176,105,26.0,178.8,73.8,31.0,7
GRE,2012,115,76,26.5,178.9,74.3,7.0,3
GRE,2016,104,65,25.8,180.6,74.4,3.0,7
GRN,1988,7,7,24.2,166.8,62.4,0.0,0
GRN,1996,5,2,20.0,183.0,75.0,0.0,0
GRN,2000,3,3,19.3,166.0,68.5,0.0,0
GRN,2004,5,5,22.8,178.2,72.4,0.0,0
GRN,2008,9,8,24.8,176.4,65.5,0.0,0
GRN,2012,8,8,25.1,178.4,67.5,0.0,1
GRN,2016,6,4,22.5,173.0,67.8,1.0,1
GUA,1968,67,37,25.5,170.4,64.4,0.0,0
GUA,1972,11,10,26.9,168.7,58.0,0.0,0
GUA,1976,28,8,25.0,173.4,66.8,0.0,0
GUA,1980,10,7,28.3,175.3,70.1,0.0,0
GUA,1984,53,40,19.7,172.8,64.3,0.0,0
GUA,1988,37,16,24.5,168.8,61.2,0.0,0
GUA,1992,41,27,18.5,172.3,61.9,0.0,0
GUA,1996,28,20,24.8,169.9,62.2,0.0,0
GUA,2000,18,14,25.6,171.8,66.0,0.0,0
GUA,2004,19,17,26.7,171.5,65.6,0.0,0
GUA,2008,13,12,27.5,174.4,67.6,0.0,0
GUA,2012,24,21,23.9,171.2,67.2,0.0,1
GUA,2016,25,19,24.9,169.0,60.0,1.0,0
GUI,1980,10,10,26.7,171.2,64.4,0.0,0
GUI,1984,1,1,33.0,167.0,71.0,0.0,0
GUI,1988,7,7,19.0,170.0,71.3,0.0,0
GUI,1992,11,11,25.0,174.7,61.4,0.0,0
GUI,1996,5,5,21.0,177.2,71.2,0.0,0
GUI,2000,6,6,23.5,174.0,76.0,0.0,0
GUI,2004,4,4,23.0,178.2,72.0,0.0,0
GUI,2008,5,5,23.2,179.2,69.4,0.0,0
GUI,2012,4,4,22.5,169.5,79.8,0.0,0
GUI,2016,5,5,19.8,168.0,69.2,0.0,0
GUM,1992,45,27,23.6,178.7,70.2,0.0,0
GUM,1996,9,9,24.7,180.6,77.4,0.0,0
GUM,2000,7,7,27.7,173.3,69.2,0.0,0
GUM,2004,4,4,25.2,179.8,74.0,0.0,0
GUM,2008,7,7,21.4,174.3,89.9,0.0,0
GUM,2012,8,8,23.6,176.9,86.6,0.0,0
GUM,2016,5,5,24.0,174.8,67.4,0.0,0
GUY,1968,6,6,22.8,174.2,67.5,0.0,0
GUY,1972,4,4,22.8,169.0,66.0,0.0,0
GUY,1980,10,10,24.1,178.5,63.8,0.0,1
GUY,1984,12,12,24.4,173.2,64.8,1.0,0
GUY,1988,8,8,25.0,171.2,64.2,0.0,0
GUY,1992,7,7,24.9,172.1,65.0,0.0,0
GUY,1996,9,6,22.8,189.6,65.9,0.0,0
GUY,2000,4,4,23.8,179.5,73.0,0.0,0
GUY,2004,4,4,24.8,172.8,69.5,0.0,0
GUY,2008,4,4,25.0,169.0,60.7,0.0,0
GUY,2012,6,6,23.3,172.4,66.0,0.0,0
GUY,2016,7,7,21.7,163.4,63.3,0.0,0
HAI,1972,7,7,21.6,172.4,67.6,0.0,0
HAI,1976,14,14,24.7,170.1,65.4,0.0,0
HAI,1984,3,2,26.0,175.0,65.0,0.0,0
HAI,1988,5,5,26.8,179.0,84.8,0.0,0
HAI,1992,8,8,28.1,178.3,78.3,0.0,0
HAI,1996,7,7,24.1,182.3,84.0,0.0,0
HAI,2000,5,5,23.8,169.8,67.2,0.0,0
HAI,2004,8,8,25.9,178.8,80.6,0.0,0
HAI,2008,7,7,27.0,174.0,77.6,0.0,0
HAI,2012,5,5,24.8,175.8,72.0,0.0,0
HAI,2016,10,10,25.2,174.7,66.2,0.0,0
HKG,1964,50,24,27.9,172.7,66.3,0.0,0
HKG,1968,25,12,25.5,173.9,73.3,0.0,0
HKG,1972,18,13,25.3,176.8,68.7,0.0,0
HKG,1976,50,27,26.3,173.1,61.6,0.0,0
HKG,1984,87,47,23.7,171.8,62.7,0.0,0
HKG,1988,91,49,23.5,173.4,64.4,0.0,0
HKG,1992,66,39,22.5,177.9,69.4,0.0,0
HKG,1996,32,25,27.2,175.4,68.9,0.0,1
HKG,2000,46,34,21.9,171.3,64.1,1.0,0
HKG,2004,42,29,23.3,169.0,62.2,0.0,2
HKG,2008,47,33,25.7,170.1,62.0,2.0,0
HKG,2012,55,44,24.7,168.7,62.9,0.0,1
HKG,2016,47,32,25.1,170.9,64.0,1.0,0
HON,1976,3,2,22.0,167.3,57.7,0.0,0
HON,1984,26,20,23.3,166.7,58.7,0.0,0
HON,1988,18,15,19.1,171.0,60.2,0.0,0
HON,1992,27,25,21.4,173.8,62.2,0.0,0
HON,1996,7,7,24.3,165.0,50.7,0.0,0
HON,2000,20,4,22.4,175.5,68.9,0.0,0
HON,2004,5,5,22.8,171.8,69.0,0.0,0
HON,2008,26,8,22.8,176.8,75.3,0.0,0
HON,2012,25,10,22.3,169.5,70.7,0.0,0
HON,2016,23,8,23.5,178.9,78.2,0.0,0
HUN,1964,319,111,24.5,173.8,70.4,66.0,56
HUN,1968,303,116,24.4,173.9,69.4,56.0,81
HUN,1972,367,134,24.4,174.9,70.7,81.0,81
HUN,1976,288,109,23.7,172.8,67.5,81.0,55
HUN,1980,392,151,24.0,174.3,69.0,55.0,61
HUN,1988,315,135,23.7,176.4,72.0,61.0,44
HUN,1992,351,156,24.1,175.5,71.8,44.0,45
HUN,1996,315,145,24.4,175.3,70.9,45.0,43
HUN,2000,238,137,25.6,179.1,75.7,43.0,53
HUN,2004,258,138,26.0,179.7,76.7,53.0,40
HUN,2008,216,126,25.7,178.9,75.1,40.0,27
HUN,2012,201,111,25.7,180.9,77.1,27.0,26
HUN,2016,204,113,26.8,179.4,75.2,26.0,22
INA,1968,6,5,33.5,167.5,69.2,0.0,0
INA,1972,7,7,24.7,163.1,55.0,0.0,0
INA,1976,11,11,23.5,164.1,59.6,0.0,0
INA,1984,23,16,23.8,164.9,57.5,0.0,0
INA,1988,43,32,21.9,167.6,60.5,0.0,3
INA,1992,51,31,23.5,168.9,64.6,3.0,6
INA,1996,45,23,24.5,169.4,63.1,6.0,6
INA,2000,54,32,24.4,168.1,61.0,6.0,8
INA,2004,39,27,24.4,166.8,61.0,8.0,5
INA,2008,26,17,25.0,168.0,63.7,5.0,7
INA,2012,22,16,23.5,164.6,63.0,7.0,2
INA,2016,31,20,24.5,168.5,66.7,2.0,4
IND,1964,111,42,25.7,169.9,66.5,13.0,15
IND,1968,27,11,26.3,172.3,70.3,15.0,16
IND,1972,43,27,26.0,174.2,70.7,16.0,14
IND,1976,26,10,26.7,171.1,65.3,14.0,0
IND,1980,78,30,25.5,170.8,66.9,0.0,16
IND,1984,53,30,24.9,169.4,64.8,16.0,0
IND,1988,55,27,24.1,168.7,61.7,0.0,0
IND,1992,61,36,24.4,172.5,63.0,0.0,0
IND,1996,54,31,24.6,171.8,67.0,0.0,1
IND,2000,70,38,25.4,173.3,68.4,1.0,1
IND,2004,81,43,24.7,169.9,68.4,1.0,1
IND,2008,67,48,25.4,173.1,72.6,1.0,3
IND,2012,95,55,26.0,174.2,72.7,3.0,6
IND,2016,130,67,26.1,170.0,66.3,6.0,2
IOA,2000,4,4,26.5,156.8,52.8,3.0,0
IOA,2012,4,4,24.8,178.5,70.0,0.0,0
IOA,2016,9,6,34.2,176.7,85.3,0.0,2
IRI,1964,96,58,26.6,169.4,64.9,4.0,2
IRI,1968,14,14,26.0,175.0,75.5,2.0,5
IRI,1972,56,33,25.1,172.9,67.6,5.0,3
IRI,1976,104,50,25.6,173.1,70.5,3.0,2
IRI,1988,26,21,22.8,171.4,66.3,2.0,1
IRI,1992,44,36,25.5,175.5,73.0,1.0,3
IRI,1996,18,18,24.3,176.7,76.5,3.0,3
IRI,2000,34,33,24.4,177.0,77.2,3.0,4
IRI,2004,37,35,24.6,176.5,81.3,4.0,6
IRI,2008,55,40,25.1,182.0,84.5,6.0,2
IRI,2012,57,51,25.4,177.3,82.3,2.0,12
IRI,2016,67,46,26.8,181.2,81.6,12.0,8
IRL,1964,35,23,28.5,176.3,69.4,0.0,1
IRL,1968,57,32,25.2,174.8,68.1,1.0,0
IRL,1972,84,54,26.5,174.7,69.7,0.0,0
IRL,1976,59,34,24.5,175.7,71.6,0.0,0
IRL,1980,57,38,24.8,177.7,73.4,0.0,3
IRL,1984,55,35,24.7,173.2,65.5,3.0,1
IRL,1988,78,47,25.7,176.8,70.1,1.0,0
IRL,1992,77,47,27.3,178.4,72.2,0.0,2
IRL,1996,99,70,27.4,178.4,72.9,2.0,4
IRL,2000,76,52,26.9,178.6,72.2,4.0,1
IRL,2004,55,31,29.0,178.9,69.1,1.0,0
IRL,2008,63,43,27.3,178.5,71.0,0.0,3
IRL,2012,76,54,28.5,175.1,66.6,3.0,5
IRL,2016,93,57,28.4,175.2,68.5,5.0,3
IRQ,1964,19,14,25.3,175.3,77.6,1.0,0
IRQ,1968,4,4,26.0,166.2,61.0,0.0,0
IRQ,1980,44,26,24.4,172.7,70.6,0.0,0
IRQ,1984,25,11,24.3,170.6,76.1,0.0,0
IRQ,1988,28,13,25.5,173.2,71.4,0.0,0
IRQ,1992,8,8,26.2,172.5,79.6,0.0,0
IRQ,1996,3,3,30.3,170.0,90.0,0.0,0
IRQ,2000,4,4,24.5,164.8,57.8,0.0,0
IRQ,2004,24,8,23.0,176.2,75.1,0.0,0
IRQ,2008,4,3,26.5,179.5,81.5,0.0,0
IRQ,2012,8,8,22.5,171.0,75.7,0.0,0
IRQ,2016,20,5,22.7,178.2,74.5,0.0,0
ISL,1964,5,5,24.0,183.4,69.5,0.0,0
ISL,1968,16,15,25.1,182.9,73.5,0.0,0
ISL,1972,30,16,23.6,182.2,79.4,0.0,0
ISL,1976,22,22,21.3,182.3,87.3,0.0,0
ISL,1980,12,11,24.0,188.6,90.4,0.0,0
ISL,1984,35,17,23.1,183.2,80.9,0.0,1
ISL,1988,42,25,24.4,183.4,81.2,1.0,0
ISL,1992,31,15,27.1,186.7,91.8,0.0,0
ISL,1996,15,15,21.8,173.9,68.4,0.0,0
ISL,2000,29,28,22.5,177.6,70.8,0.0,1
ISL,2004,34,20,26.0,183.2,79.8,1.0,0
ISL,2008,31,18,25.2,186.9,85.0,0.0,14
ISL,2012,36,20,26.1,185.9,83.6,14.0,0
ISL,2016,14,14,23.9,177.2,73.6,0.0,0
ISR,1964,13,12,25.2,171.3,70.9,0.0,0
ISR,1968,39,20,23.5,173.0,69.6,0.0,0
ISR,1972,17,14,27.7,169.2,68.8,0.0,0
ISR,1976,34,19,24.3,172.6,72.1,0.0,0
ISR,1984,65,46,21.9,168.7,60.2,0.0,0
ISR,1988,29,20,22.5,172.5,66.7,0.0,0
ISR,1992,44,42,23.5,179.4,77.7,0.0,2
ISR,1996,38,26,26.6,178.6,74.3,2.0,1
ISR,2000,58,43,24.2,179.4,74.9,1.0,1
ISR,2004,46,41,25.9,171.2,66.8,1.0,2
ISR,2008,60,47,24.6,174.6,66.8,2.0,1
ISR,2012,56,41,24.5,173.3,66.5,1.0,0
ISR,2016,59,45,25.0,174.3,66.8,0.0,2
ISV,1972,16,9,32.3,181.7,78.7,0.0,0
ISV,1976,26,21,26.6,175.6,70.8,0.0,0
ISV,1984,52,31,24.8,178.3,70.4,0.0,0
ISV,1988,46,27,24.8,178.6,71.3,0.0,1
ISV,1992,34,29,29.0,173.6,67.0,1.0,0
ISV,1996,14,11,26.1,170.6,60.9,0.0,0
ISV,2000,12,12,30.9,180.9,76.8,0.0,0
ISV,2004,9,9,27.1,182.2,78.2,0.0,0
ISV,2008,8,8,26.1,182.9,76.2,0.0,0
ISV,2012,9,7,24.0,178.1,71.0,0.0,0
ISV,2016,7,7,27.3,185.0,86.6,0.0,0
ITA,1964,256,91,25.0,175.0,72.6,88.0,51
ITA,1968,268,103,25.8,174.2,70.0,51.0,33
ITA,1972,345,123,23.7,173.8,69.2,33.0,25
ITA,1976,312,122,23.9,175.3,70.3,25.0,31
ITA,1980,203,88,23.7,178.7,72.7,31.0,37
ITA,1984,368,151,23.9,178.1,72.5,37.0,63
ITA,1988,374,140,24.1,176.7,71.4,63.0,29
ITA,1992,431,169,25.2,178.3,72.8,29.0,45
ITA,1996,460,172,26.2,176.7,72.1,45.0,71
ITA,2000,457,175,26.0,177.5,72.6,71.0,65
ITA,2004,474,175,26.1,177.7,73.0,65.0,104
ITA,2008,459,190,26.8,176.4,70.9,104.0,42
ITA,2012,382,169,27.1,176.2,70.7,42.0,68
ITA,2016,399,171,26.8,176.6,69.7,68.0,72
IVB,1988,4,4,24.2,179.0,72.2,0.0,0
IVB,1992,4,2,35.0,191.0,77.0,0.0,0
IVB,1996,11,5,22.6,178.5,72.8,0.0,0
IVB,2000,1,1,25.0,179.0,74.0,0.0,0
IVB,2004,1,1,27.0,178.0,77.0,0.0,0
IVB,2008,2,2,25.0,177.0,90.5,0.0,0
IVB,2012,2,2,24.0,168.0,60.0,0.0,0
IVB,2016,4,4,24.0,165.0,69.0,0.0,0
JAM,1964,32,16,24.1,175.7,68.2,0.0,0
JAM,1968,35,21,23.5,175.2,68.6,0.0,1
JAM,1972,51,27,21.1,173.6,63.2,1.0,1
JAM,1976,36,18,22.9,173.1,62.8,1.0,2
JAM,1980,32,15,22.8,175.6,66.3,2.0,3
JAM,1984,75,35,21.6,176.6,70.4,3.0,7
JAM,1988,49,22,24.0,176.3,68.7,7.0,7
JAM,1992,51,23,24.2,175.8,66.4,7.0,4
JAM,1996,69,29,25.6,176.0,67.5,4.0,16
JAM,2000,65,28,26.1,177.4,67.9,16.0,23
