,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
30,22,Brent Barry,SG,26,LAC,41,36,32.7,4.6,10.8,.428,1.9,4.8,.400,2.7,6.1,.450,.516,2.5,3.0,.844,0.7,2.8,3.5,3.2,1.2,0.6,2.3,2.1,13.7,1998
31,22,Brent Barry,SG,26,MIA,17,0,15.2,1.4,3.6,.371,0.7,2.0,.353,0.6,1.6,.393,.468,0.7,0.7,1.000,0.1,1.5,1.6,1.2,0.8,0.2,0.5,1.8,4.1,1998
32,23,Drew Barry,PG,24,ATL,27,0,9.5,0.7,1.4,.474,0.3,0.8,.429,0.3,0.6,.529,.592,0.4,0.5,.846,0.2,1.1,1.3,1.8,0.4,0.0,1.1,1.0,2.1,1998
33,24,Jon Barry,SG,28,LAL,49,1,7.6,0.8,2.1,.365,0.4,1.2,.295,0.4,0.9,.465,.452,0.6,0.6,.931,0.2,0.6,0.8,1.0,0.5,0.1,0.4,0.7,2.5,1998
34,25,Tony Battie,PF,21,DEN,65,49,23.2,3.6,8.1,.446,0.0,0.2,.214,3.6,7.9,.452,.449,1.1,1.6,.702,2.1,3.3,5.4,0.9,0.8,1.1,1.5,3.1,8.4,1998
35,26,Corey Beck,PG,26,CHH,59,14,12.5,1.2,2.7,.459,0.0,0.1,.500,1.2,2.6,.458,.465,0.7,1.0,.729,0.5,1.1,1.5,1.7,0.6,0.1,1.2,1.7,3.2,1998
36,27,Benoit Benjamin,C,33,PHI,14,0,14.1,1.6,2.9,.537,0.0,0.0,,1.6,2.9,.537,.537,1.4,2.1,.633,1.3,2.5,3.8,0.2,0.3,0.3,0.9,1.9,4.5,1998
37,28,Mario Bennett,PF,24,LAL,45,4,7.9,1.8,3.0,.593,0.0,0.0,.500,1.8,3.0,.594,.596,0.4,1.0,.364,1.3,1.5,2.8,0.4,0.4,0.2,0.5,1.4,3.9,1998
38,29,David Benoit,SF,29,TOT,77,0,14.6,2.0,5.3,.373,0.7,2.2,.324,1.3,3.1,.408,.440,0.8,1.0,.824,0.8,1.9,2.6,0.3,0.5,0.3,0.7,2.0,5.5,1998
39,29,David Benoit,SF,29,NJN,53,0,15.1,1.9,5.1,.379,0.8,2.2,.345,1.2,2.8,.407,.455,0.7,0.8,.841,0.8,1.9,2.7,0.3,0.5,0.3,0.7,2.3,5.3,1998
40,29,David Benoit,SF,29,ORL,24,0,13.5,2.1,5.8,.360,0.6,2.1,.275,1.5,3.7,.409,.410,1.0,1.3,.800,0.8,1.8,2.6,0.3,0.4,0.2,0.5,1.5,5.8,1998
41,30,Travis Best,PG,25,IND,82,0,18.9,2.5,5.9,.419,0.3,0.9,.300,2.2,5.0,.439,.441,1.4,1.6,.855,0.3,1.1,1.5,3.4,1.0,0.1,1.4,2.4,6.5,1998
42,31,Chauncey Billups,PG,21,TOT,80,70,27.7,3.5,9.4,.374,1.3,4.1,.329,2.2,5.3,.408,.445,2.8,3.3,.850,0.8,1.6,2.4,3.9,1.3,0.1,2.2,2.2,11.2,1998
43,31,Chauncey Billups,PG,21,BOS,51,44,25.4,3.5,8.9,.390,1.3,3.7,.339,2.2,5.2,.426,.460,2.9,3.5,.817,0.8,1.4,2.2,4.3,1.5,0.0,2.3,2.3,11.1,1998
44,31,Chauncey Billups,PG,21,TOR,29,26,31.7,3.6,10.2,.349,1.5,4.7,.316,2.1,5.5,.377,.422,2.7,3.0,.919,0.8,1.9,2.7,3.3,1.0,0.1,1.9,1.9,11.3,1998
45,32,Mookie Blaylock,PG,30,ATL,70,69,38.6,5.3,13.4,.392,1.3,4.8,.269,4.0,8.6,.460,.440,1.4,1.9,.709,1.2,3.7,4.9,6.7,2.6,0.3,2.5,1.7,13.2,1998
46,33,Corie Blount,PF,29,LAL,70,3,14.7,1.5,2.7,.572,0.0,0.1,.000,1.5,2.6,.585,.572,0.6,1.1,.500,1.6,2.6,4.3,0.5,0.4,0.4,0.7,2.2,3.6,1998
47,34,Muggsy Bogues,PG,33,TOT,61,31,25.7,2.3,5.3,.437,0.1,0.3,.250,2.2,5.0,.446,.443,1.0,1.1,.897,0.5,1.7,2.2,5.4,1.1,0.0,1.7,1.0,5.7,1998
48,34,Muggsy Bogues,PG,33,CHH,2,0,8.0,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,1.0,1.0,1.000,0.0,0.5,0.5,2.0,1.0,0.0,0.5,1.0,3.0,1998
49,34,Muggsy Bogues,PG,33,GSW,59,31,26.3,2.4,5.4,.437,0.1,0.3,.250,2.3,5.1,.447,.443,1.0,1.1,.894,0.5,1.7,2.2,5.5,1.1,0.1,1.8,0.9,5.8,1998
50,35,Etdrick Bohannon,PF,24,IND,5,0,2.2,0.0,0.8,.000,0.0,0.0,,0.0,0.8,.000,.000,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.4,0.6,0.6,0.0,1998
51,36,Keith Booth,SF,23,CHI,6,0,2.8,0.3,1.0,.333,0.0,0.2,.000,0.3,0.8,.400,.333,1.0,1.0,1.000,0.3,0.3,0.7,0.2,0.0,0.0,0.5,0.5,1.7,1998
52,37,Bruce Bowen,SF,26,BOS,61,9,21.4,2.0,4.9,.409,0.3,1.0,.339,1.7,3.9,.427,.443,1.2,2.0,.623,1.3,1.6,2.9,1.3,1.4,0.5,0.9,2.9,5.6,1998
53,38,Anthony Bowie,SG,34,NYK,27,3,8.3,1.2,2.2,.542,0.1,0.1,.750,1.1,2.0,.527,.568,0.3,0.3,.889,0.3,0.6,1.0,0.4,0.2,0.1,0.3,0.9,2.8,1998
54,39,Shawn Bradley,C,25,DAL,64,46,28.5,4.7,11.1,.422,0.0,0.0,.333,4.7,11.1,.422,.423,2.0,2.8,.722,2.6,5.5,8.1,0.9,0.8,3.3,1.5,3.3,11.4,1998
55,40,Terrell Brandon,PG,27,MIL,50,48,35.7,6.8,14.6,.464,0.6,1.9,.333,6.2,12.8,.483,.485,2.6,3.1,.846,0.5,3.1,3.5,7.7,2.2,0.3,2.9,2.4,16.8,1998
56,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1998
57,41,Tim Breaux,SF,27,MIL,6,0,5.0,0.7,1.8,.364,0.2,0.5,.333,0.5,1.3,.375,.409,0.2,0.3,.500,0.0,0.3,0.3,0.3,0.3,0.2,0.2,0.2,1.7,1998
58,42,Scott Brooks,PG,32,CLE,43,0,7.3,0.7,1.5,.424,0.1,0.3,.455,0.5,1.3,.418,.462,0.4,0.5,.900,0.1,0.6,0.7,1.1,0.4,0.1,0.3,0.6,1.8,1998
59,43,Chucky Brown,SF,29,ATL,77,8,15.6,2.1,4.8,.433,0.0,0.1,.250,2.1,4.7,.437,.435,0.8,1.1,.724,0.7,1.6,2.4,0.7,0.3,0.2,0.7,1.3,5.0,1998
60,44,Dee Brown,SG,29,TOT,72,12,23.9,3.4,7.8,.438,1.5,3.8,.399,1.9,4.0,.474,.534,0.8,1.0,.817,0.3,1.8,2.1,2.1,1.1,0.3,1.0,1.7,9.1,1998
61,44,Dee Brown,SG,29,BOS,41,10,19.8,2.7,6.2,.427,1.0,2.8,.381,1.6,3.5,.465,.512,0.5,0.7,.679,0.2,1.3,1.5,1.3,1.1,0.1,0.8,1.9,6.8,1998
62,44,Dee Brown,SG,29,TOR,31,2,29.3,4.4,9.9,.446,2.1,5.1,.411,2.3,4.8,.483,.552,1.3,1.4,.907,0.5,2.5,2.9,3.3,1.2,0.5,1.3,1.5,12.2,1998
63,45,P.J. Brown,PF,28,MIA,74,74,31.9,3.8,8.0,.471,0.0,0.0,,3.8,8.0,.471,.471,2.0,2.7,.766,3.2,5.4,8.6,1.4,0.9,1.3,1.3,3.6,9.6,1998
64,46,Randy Brown,PG,29,CHI,71,6,16.2,1.6,4.3,.384,0.0,0.1,.000,1.6,4.2,.391,.384,0.8,1.1,.718,0.5,0.8,1.3,2.1,1.0,0.2,0.9,1.7,4.1,1998
65,47,Rick Brunson,PG,25,POR,38,10,16.4,1.3,3.7,.348,0.6,1.6,.361,0.7,2.1,.338,.426,1.1,1.6,.677,0.4,1.1,1.5,2.6,0.7,0.1,1.4,1.4,4.3,1998
66,48,Kobe Bryant*,SF,19,LAL,79,1,26.0,4.9,11.6,.428,0.9,2.8,.341,4.0,8.8,.456,.469,4.6,5.8,.794,1.0,2.1,3.1,2.5,0.9,0.5,2.0,2.3,15.4,1998
67,49,Mark Bryant,C,32,PHO,70,22,15.9,1.6,3.2,.484,0.0,0.0,.000,1.6,3.2,.487,.484,1.0,1.4,.768,1.3,2.2,3.5,0.7,0.5,0.2,0.8,2.6,4.2,1998
68,50,Jud Buechler,SF,29,CHI,74,0,8.2,1.1,2.4,.483,0.3,0.9,.385,0.8,1.5,.541,.554,0.0,0.1,.500,0.3,0.7,1.0,0.7,0.3,0.2,0.3,0.6,2.7,1998
69,51,Matt Bullard,SF,30,HOU,67,24,17.8,2.6,5.8,.450,1.4,3.4,.416,1.2,2.4,.500,.573,0.3,0.4,.741,0.4,1.8,2.2,0.9,0.5,0.4,0.6,1.6,7.0,1998
70,52,Scott Burrell,SF,27,CHI,80,3,13.7,2.0,4.7,.424,0.6,1.8,.354,1.4,2.9,.468,.492,0.6,0.8,.734,1.0,1.5,2.5,0.8,0.8,0.5,0.6,1.6,5.2,1998
71,53,Willie Burton,SF,29,SAS,13,0,3.3,0.6,1.6,.381,0.2,0.7,.333,0.4,0.9,.417,.452,0.6,0.9,.667,0.2,0.5,0.7,0.1,0.2,0.2,0.1,0.5,2.1,1998
72,54,Mitchell Butler,SG,27,CLE,18,0,11.4,0.8,2.6,.319,0.1,0.3,.167,0.8,2.3,.341,.330,0.3,0.6,.600,0.3,0.9,1.2,1.0,0.4,0.0,0.4,1.4,2.1,1998
73,55,Jason Caffey,PF,24,TOT,80,14,17.8,2.8,5.8,.485,0.0,0.0,.000,2.8,5.8,.487,.485,1.6,2.5,.655,2.0,2.3,4.3,0.8,0.3,0.3,1.3,2.3,7.3,1998
74,55,Jason Caffey,PF,24,CHI,51,8,13.9,2.0,3.9,.503,0.0,0.0,.000,2.0,3.9,.505,.503,1.3,2.0,.660,1.5,1.9,3.4,0.7,0.3,0.3,0.9,1.8,5.3,1998
75,55,Jason Caffey,PF,24,GSW,29,6,24.6,4.3,9.2,.472,0.0,0.0,.000,4.3,9.2,.474,.472,2.2,3.3,.649,2.9,3.0,5.9,1.1,0.4,0.1,2.0,3.1,10.9,1998
76,56,Michael Cage,C,36,NJN,79,17,15.2,0.5,1.1,.512,0.0,0.0,.000,0.5,1.1,.518,.512,0.3,0.5,.556,1.5,2.4,3.9,0.4,0.6,0.6,0.3,1.3,1.3,1998
77,57,Adrian Caldwell,PF,31,DAL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
78,58,Marcus Camby,C,23,TOR,63,58,31.8,4.9,11.9,.412,0.0,0.0,.000,4.9,11.8,.413,.412,2.4,3.9,.611,3.2,4.2,7.4,1.8,1.1,3.7,2.1,3.2,12.1,1998
79,59,Elden Campbell,PF,29,LAL,81,28,22.0,3.6,7.7,.463,0.0,0.0,.500,3.6,7.7,.463,.464,2.9,4.2,.693,1.8,3.9,5.6,1.0,0.4,1.3,1.4,2.6,10.1,1998
80,60,Antoine Carr,PF,36,UTA,66,8,16.5,2.3,4.9,.465,0.0,0.0,,2.3,4.9,.465,.465,1.2,1.5,.776,0.6,1.3,2.0,0.7,0.2,0.8,0.7,3.0,5.7,1998
81,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1998
82,61,Chris Carr,SG,23,MIN,51,40,22.8,3.7,8.9,.420,0.8,2.5,.315,2.9,6.4,.462,.465,1.6,1.9,.848,0.8,2.2,3.0,1.7,0.3,0.2,1.4,2.5,9.9,1998
83,62,Sam Cassell,PG,28,NJN,75,72,34.7,6.8,15.4,.441,0.2,1.1,.188,6.6,14.3,.460,.448,5.8,6.8,.860,1.0,2.1,3.0,8.0,1.6,0.3,3.6,3.5,19.6,1998
84,63,Kelvin Cato,C,23,POR,74,8,13.6,1.3,3.1,.428,0.0,0.0,.000,1.3,3.1,.434,.428,1.2,1.7,.688,1.2,2.2,3.4,0.3,0.4,1.3,0.6,2.2,3.8,1998
85,64,Duane Causwell,C,29,MIA,37,2,9.8,1.0,2.4,.416,0.0,0.0,,1.0,2.4,.416,.416,0.4,0.7,.577,0.8,1.9,2.7,0.1,0.2,0.7,0.5,2.0,2.4,1998
86,65,Cedric Ceballos,SF,28,TOT,47,25,21.1,4.3,8.8,.492,0.4,1.5,.300,3.9,7.3,.530,.517,2.3,3.1,.738,1.6,3.1,4.7,1.3,0.7,0.3,1.5,1.9,11.4,1998
87,65,Cedric Ceballos,SF,28,PHO,35,16,17.9,3.7,7.4,.500,0.4,1.4,.300,3.3,5.9,.548,.529,1.7,2.4,.714,1.5,2.8,4.3,1.0,0.6,0.2,1.1,1.7,9.5,1998
88,65,Cedric Ceballos,SF,28,DAL,12,9,30.3,6.3,13.1,.478,0.5,1.7,.300,5.8,11.4,.504,.497,3.9,5.1,.770,2.0,4.0,6.0,2.1,0.9,0.7,2.8,2.4,16.9,1998
89,66,Tom Chambers,PF,38,PHI,1,0,10.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,2.0,2.0,1.000,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,6.0,1998
90,67,Rex Chapman,SG,30,PHO,68,67,33.3,6.0,14.1,.427,1.8,4.6,.386,4.2,9.5,.447,.490,2.1,2.8,.781,0.4,2.1,2.5,3.0,1.0,0.2,1.7,1.5,15.9,1998
91,68,Calbert Cheaney,SG,26,WAS,82,82,34.6,5.5,12.0,.457,0.2,0.6,.283,5.3,11.3,.467,.464,1.7,2.6,.647,1.0,3.0,4.0,2.1,1.2,0.4,1.3,3.2,12.8,1998
92,69,Pete Chilcutt,PF,29,VAN,82,0,17.3,1.9,4.4,.435,0.7,1.6,.415,1.2,2.8,.445,.510,0.5,0.7,.661,0.9,2.8,3.7,1.3,0.6,0.5,0.8,1.9,4.9,1998
93,70,Chris Childs,PG,30,NYK,68,0,23.5,2.2,5.2,.421,0.4,1.3,.310,1.8,3.9,.457,.459,1.5,1.9,.825,0.4,2.0,2.4,3.9,0.8,0.1,1.5,2.6,6.3,1998
94,71,Doug Christie,SG,27,TOR,78,78,37.7,5.9,13.7,.428,1.3,3.9,.326,4.6,9.8,.469,.474,3.5,4.2,.829,1.2,4.0,5.2,3.6,2.4,0.7,2.9,2.5,16.5,1998
95,72,Keith Closs,C,21,LAC,58,1,12.8,1.6,3.6,.449,0.0,0.0,,1.6,3.6,.449,.449,0.8,1.3,.597,1.1,1.8,2.9,0.3,0.2,1.4,0.7,1.3,4.0,1998
96,73,Derrick Coleman,PF,30,PHI,59,58,36.2,6.0,14.7,.411,0.4,1.7,.265,5.6,13.0,.429,.426,5.1,6.6,.772,2.5,7.4,9.9,2.5,0.8,1.2,2.7,2.4,17.6,1998
97,74,Bimbo Coles,PG,29,GSW,53,44,27.8,3.1,8.3,.379,0.2,1.1,.228,2.9,7.2,.402,.394,1.5,1.7,.886,0.3,2.0,2.3,4.7,1.0,0.2,1.7,2.5,8.0,1998
98,75,James Collins,SG,24,LAC,23,0,4.5,0.9,2.4,.382,0.4,0.9,.450,0.5,1.5,.343,.464,0.3,0.6,.571,0.3,0.3,0.6,0.1,0.3,0.1,0.3,0.5,2.6,1998
99,76,Marty Conlon,C,30,MIA,18,0,11.6,1.6,3.4,.452,0.0,0.0,,1.6,3.4,.452,.452,1.8,2.4,.727,0.9,1.7,2.6,0.7,0.5,0.3,0.6,1.5,4.9,1998
100,77,Tyrone Corbin,SF,35,ATL,79,79,34.2,4.2,9.5,.439,0.6,1.8,.348,3.5,7.7,.460,.472,1.3,1.6,.789,1.0,3.6,4.6,2.2,1.3,0.1,1.1,2.5,10.2,1998
101,78,James Cotton,SG,22,SEA,9,0,3.7,0.9,2.3,.381,0.0,0.4,.000,0.9,1.9,.471,.381,0.9,1.0,.889,0.2,0.4,0.7,0.0,0.1,0.1,0.7,0.3,2.7,1998
102,79,Chris Crawford,PF,22,ATL,40,0,6.4,1.2,2.8,.418,0.0,0.1,.333,1.1,2.7,.421,.423,1.4,1.7,.838,0.5,0.5,1.0,0.2,0.3,0.2,0.5,0.7,3.8,1998
103,80,Austin Croshere,PF,22,IND,26,0,9.3,1.2,3.3,.372,0.2,0.5,.308,1.1,2.8,.384,.395,0.3,0.5,.571,0.4,1.3,1.7,0.3,0.3,0.2,0.5,1.2,2.9,1998
104,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1998
105,81,John Crotty,PG,28,POR,26,2,14.6,1.1,3.5,.322,0.2,0.8,.300,0.9,2.7,.329,.356,1.2,1.3,.941,0.2,1.1,1.2,2.4,0.4,0.0,1.6,1.1,3.7,1998
106,82,Terry Cummings,PF,36,TOT,74,3,16.0,2.7,5.8,.467,0.0,0.0,.000,2.7,5.8,.468,.467,0.9,1.3,.684,1.3,2.5,3.8,0.6,0.5,0.1,0.7,2.4,6.3,1998
107,82,Terry Cummings,PF,36,PHI,44,2,14.9,2.2,4.8,.458,0.0,0.0,.000,2.2,4.8,.460,.458,0.9,1.3,.672,1.3,2.1,3.4,0.5,0.5,0.1,0.4,2.3,5.3,1998
108,82,Terry Cummings,PF,36,NYK,30,1,17.6,3.4,7.2,.477,0.0,0.0,,3.4,7.2,.477,.477,0.9,1.3,.700,1.4,3.1,4.5,0.9,0.5,0.2,1.1,2.6,7.8,1998
109,83,William Cunningham,C,23,TOT,7,2,5.6,0.6,1.3,.444,0.0,0.0,,0.6,1.3,.444,.444,0.0,0.0,,0.6,0.9,1.4,0.1,0.3,0.0,0.0,1.4,1.1,1998
110,83,William Cunningham,C,23,UTA,6,2,6.3,0.7,1.5,.444,0.0,0.0,,0.7,1.5,.444,.444,0.0,0.0,,0.7,0.7,1.3,0.2,0.3,0.0,0.0,1.7,1.3,1998
111,83,William Cunningham,C,23,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
112,84,Bill Curley,PF,25,MIN,11,1,13.3,1.5,3.0,.485,0.0,0.1,.000,1.5,2.9,.500,.485,0.2,0.3,.667,1.0,1.5,2.5,0.4,0.3,0.1,0.3,2.5,3.1,1998
113,85,Dell Curry,SG,33,CHH,52,1,18.7,3.7,8.3,.447,1.2,2.8,.421,2.6,5.6,.460,.517,0.8,1.0,.788,0.5,1.4,1.9,1.3,0.6,0.1,1.0,1.6,9.4,1998
114,86,Michael Curry,SG,29,MIL,82,27,24.1,2.4,5.1,.469,0.0,0.1,.444,2.3,5.0,.469,.474,1.8,2.1,.835,0.3,0.9,1.2,1.7,0.7,0.2,0.9,2.7,6.6,1998
115,87,Erick Dampier,C,22,GSW,82,82,32.4,4.3,9.6,.445,0.0,0.0,.000,4.3,9.6,.446,.445,3.3,4.9,.669,3.3,5.4,8.7,1.1,0.5,1.7,2.1,3.4,11.8,1998
116,88,Antonio Daniels,SG,22,VAN,74,50,26.4,3.1,7.4,.416,0.1,0.7,.212,2.9,6.7,.438,.426,1.5,2.3,.659,0.3,1.6,1.9,4.5,0.7,0.1,2.2,1.2,7.8,1998
117,89,Lloyd Daniels,SG,30,TOR,6,0,13.7,2.0,4.8,.414,0.3,1.5,.222,1.7,3.3,.500,.448,1.3,1.7,.800,0.7,0.5,1.2,0.7,0.5,0.3,0.7,0.7,5.7,1998
118,90,Yinka Dare,C,25,NJN,10,0,6.0,0.4,1.8,.222,0.0,0.0,,0.4,1.8,.222,.222,0.4,0.8,.500,1.0,0.7,1.7,0.1,0.0,0.2,0.2,0.9,1.2,1998
119,91,Antonio Davis,PF,29,IND,82,12,26.7,3.1,6.4,.481,0.0,0.0,.000,3.1,6.4,.484,.481,3.4,4.9,.696,2.3,4.5,6.8,0.7,0.5,0.9,1.3,2.9,9.6,1998
120,92,Ben Davis,PF,25,NYK,7,0,1.9,0.3,1.4,.200,0.0,0.0,,0.3,1.4,.200,.200,0.0,0.0,,0.9,0.0,0.9,0.0,0.1,0.0,0.0,0.4,0.6,1998
121,93,Dale Davis,C,28,IND,78,78,27.9,3.5,6.4,.548,0.0,0.0,,3.5,6.4,.548,.548,1.0,2.2,.465,3.0,4.8,7.8,0.9,0.7,1.1,0.9,2.7,8.0,1998
122,94,Emanual Davis,PG,29,HOU,45,0,13.3,1.4,3.2,.444,0.6,1.6,.375,0.8,1.6,.514,.539,0.7,0.8,.838,0.2,0.8,1.0,1.3,0.4,0.1,1.2,1.2,4.1,1998
123,95,Hubert Davis,SG,27,DAL,81,30,29.4,4.3,9.5,.456,1.2,2.8,.439,3.1,6.6,.464,.522,1.2,1.4,.836,0.4,1.7,2.1,1.9,0.5,0.1,1.1,1.4,11.1,1998
124,96,Mark Davis,SF,24,PHI,71,12,12.8,1.5,3.4,.447,0.0,0.1,.000,1.5,3.4,.458,.447,0.9,1.4,.634,0.9,1.3,2.2,1.0,0.7,0.3,1.3,1.3,4.0,1998
125,97,Terry Davis,PF,30,WAS,74,66,23.0,1.7,3.5,.496,0.0,0.0,.000,1.7,3.4,.498,.496,0.9,1.6,.580,2.8,3.7,6.5,0.4,0.6,0.3,0.8,2.6,4.4,1998
126,98,Todd Day,SG,28,MIA,5,0,13.8,2.2,6.2,.355,0.4,2.4,.167,1.8,3.8,.474,.387,1.2,1.8,.667,0.8,0.4,1.2,1.4,1.4,0.0,0.6,2.0,6.0,1998
127,99,Andrew DeClercq,C,24,BOS,81,49,18.8,2.1,4.2,.497,0.0,0.0,.000,2.1,4.2,.499,.497,1.2,2.1,.601,2.2,2.6,4.8,0.7,1.0,0.6,1.0,3.4,5.4,1998
128,100,Terry Dehere,PG,26,SAC,77,18,18.3,2.3,5.9,.399,0.6,1.7,.379,1.7,4.1,.408,.455,1.0,1.3,.798,0.3,1.1,1.4,2.5,0.7,0.1,1.2,1.9,6.4,1998
129,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1998
130,101,Vinny Del Negro,SG,31,SAS,54,38,31.9,3.9,8.9,.441,0.3,0.7,.436,3.6,8.1,.441,.458,1.4,1.7,.796,0.2,2.6,2.8,3.4,0.7,0.1,1.0,2.1,9.5,1998
131,102,Bison Dele,C,28,DET,78,78,33.6,6.8,13.3,.511,0.0,0.0,.333,6.8,13.3,.511,.511,2.5,3.6,.707,2.9,6.1,8.9,1.2,0.9,0.7,2.3,3.2,16.2,1998
132,103,Tony Delk,PG,24,TOT,77,9,21.8,4.1,10.4,.393,0.5,2.0,.268,3.5,8.3,.424,.420,1.4,2.0,.735,0.5,1.7,2.2,2.2,0.9,0.2,1.4,1.2,10.1,1998
133,103,Tony Delk,PG,24,CHH,3,0,11.3,1.0,1.3,.750,0.3,0.3,1.000,0.7,1.0,.667,.875,0.3,0.7,.500,0.0,0.7,0.7,1.0,0.0,0.0,1.3,2.7,2.7,1998
134,103,Tony Delk,PG,24,GSW,74,9,22.3,4.2,10.7,.392,0.6,2.1,.263,3.6,8.6,.423,.418,1.5,2.0,.738,0.5,1.8,2.3,2.3,1.0,0.2,1.4,1.2,10.4,1998
135,104,Vlade Divac*,C,29,CHH,64,41,28.2,4.2,8.4,.498,0.0,0.2,.214,4.1,8.2,.506,.501,2.0,2.9,.691,2.9,5.2,8.1,2.7,1.3,1.5,1.8,2.8,10.4,1998
136,105,Sherman Douglas,PG,31,NJN,80,11,21.2,3.2,6.4,.495,0.2,0.6,.304,3.0,5.9,.514,.509,1.4,2.2,.669,0.7,1.0,1.7,4.0,0.7,0.1,1.4,2.0,8.0,1998
137,106,Clyde Drexler*,SG,35,HOU,70,70,35.3,6.5,15.1,.427,1.5,4.8,.317,4.9,10.4,.477,.477,4.0,4.9,.801,1.5,3.4,4.9,5.5,1.8,0.6,2.7,2.8,18.4,1998
138,107,Chris Dudley,C,32,NYK,51,22,16.8,1.1,2.8,.406,0.0,0.0,,1.1,2.8,.406,.406,0.8,1.8,.446,2.1,3.3,5.4,0.4,0.3,1.0,0.9,2.7,3.1,1998
139,108,Joe Dumars*,SG,34,DET,72,72,32.3,4.6,11.0,.416,2.2,5.9,.371,2.4,5.1,.468,.516,1.8,2.1,.825,0.2,1.3,1.4,3.5,0.6,0.0,1.2,1.4,13.1,1998
140,109,Tony Dumas,SG,25,CLE,7,0,6.7,0.9,1.7,.500,0.3,0.6,.500,0.6,1.1,.500,.583,0.0,0.4,.000,0.1,0.6,0.7,0.7,0.0,0.0,0.7,0.7,2.0,1998
141,110,Tim Duncan*,PF,21,SAS,82,82,39.1,8.6,15.7,.549,0.0,0.1,.000,8.6,15.6,.553,.549,3.9,5.9,.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1,1998
142,111,Ledell Eackles,SG,31,WAS,42,0,13.0,1.8,4.2,.429,0.4,1.1,.348,1.4,3.1,.457,.474,1.2,1.4,.881,0.6,1.2,1.8,0.4,0.4,0.0,0.7,1.0,5.2,1998
143,112,Tyus Edney,PG,24,BOS,52,7,12.0,1.8,4.2,.431,0.1,0.2,.300,1.7,4.0,.437,.438,1.7,2.1,.793,0.4,0.7,1.1,2.7,1.0,0.0,1.3,1.3,5.3,1998
144,113,Blue Edwards,SG,32,VAN,81,20,24.3,4.0,9.2,.439,0.5,1.5,.333,3.5,7.7,.460,.466,2.2,2.7,.837,0.8,1.9,2.7,2.5,1.1,0.3,1.7,2.3,10.8,1998
145,114,Kevin Edwards,SG,32,TOT,39,5,12.5,1.5,4.2,.345,0.2,0.4,.400,1.3,3.8,.340,.364,0.8,0.9,.857,0.5,0.9,1.4,1.0,0.7,0.0,0.8,0.7,3.8,1998
146,114,Kevin Edwards,SG,32,NJN,27,5,13.0,1.4,3.9,.349,0.1,0.4,.364,1.2,3.5,.347,.368,0.5,0.6,.867,0.4,0.9,1.3,1.0,0.8,0.0,0.7,0.7,3.4,1998
147,114,Kevin Edwards,SG,32,ORL,12,0,11.3,1.7,4.9,.339,0.2,0.3,.500,1.5,4.6,.327,.356,1.4,1.7,.850,0.8,0.9,1.7,1.1,0.4,0.1,0.8,0.7,4.9,1998
148,115,Howard Eisley,PG,25,UTA,82,18,21.0,2.8,6.3,.441,0.6,1.4,.407,2.2,4.9,.451,.487,1.5,1.8,.852,0.3,1.7,2.0,4.2,0.7,0.2,2.0,2.2,7.7,1998
149,116,Mario Elie,SF,34,HOU,73,59,27.2,2.8,6.2,.452,0.8,2.6,.291,2.1,3.7,.566,.512,2.0,2.4,.833,0.5,1.6,2.1,3.0,1.1,0.1,1.4,1.6,8.4,1998
150,117,Sean Elliott,SF,29,SAS,36,36,28.1,3.4,8.4,.403,0.9,2.5,.378,2.4,5.9,.413,.459,1.6,2.2,.718,0.4,3.0,3.4,1.7,0.7,0.4,1.6,2.6,9.3,1998
