,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2002,Central Division
8,50,32,.610,—,94.3,92.2,1.69,2002,Detroit Pistons*
9,44,38,.537,6.0,93.9,92.9,0.57,2002,Charlotte Hornets*
10,42,40,.512,8.0,91.4,91.8,-0.71,2002,Toronto Raptors*
11,42,40,.512,8.0,96.8,96.5,-0.07,2002,Indiana Pacers*
12,41,41,.500,9.0,97.5,97.7,-0.62,2002,Milwaukee Bucks
13,33,49,.402,17.0,94.0,98.3,-4.41,2002,Atlanta Hawks
14,29,53,.354,21.0,95.3,98.6,-3.52,2002,Cleveland Cavaliers
15,21,61,.256,29.0,89.5,98.0,-8.52,2002,Chicago Bulls
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2002,Midwest Division
1,58,24,.707,—,96.7,90.5,6.28,2002,San Antonio Spurs*
2,57,25,.695,1.0,105.2,101.0,4.41,2002,Dallas Mavericks*
3,50,32,.610,8.0,99.3,96.0,3.58,2002,Minnesota Timberwolves*
4,44,38,.537,14.0,96.0,95.1,1.21,2002,Utah Jazz*
5,28,54,.341,30.0,92.3,97.2,-4.31,2002,Houston Rockets
6,27,55,.329,31.0,92.2,98.0,-5.19,2002,Denver Nuggets
7,23,59,.280,35.0,89.9,97.3,-6.74,2002,Memphis Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2002,Pacific Division
9,61,21,.744,—,104.6,97.0,7.61,2002,Sacramento Kings*
10,58,24,.707,3.0,101.3,94.1,7.15,2002,Los Angeles Lakers*
11,49,33,.598,12.0,96.6,93.7,3.21,2002,Portland Trail Blazers*
12,45,37,.549,16.0,97.7,94.7,3.24,2002,Seattle SuperSonics*
13,39,43,.476,22.0,95.7,96.1,-0.09,2002,Los Angeles Clippers
14,36,46,.439,25.0,95.1,95.8,-0.30,2002,Phoenix Suns
15,21,61,.256,40.0,97.7,103.1,-4.80,2002,Golden State Warriors
0,49,33,.598,—,95.4,90.1,4.42,2003,New Jersey Nets*
1,48,34,.585,1.0,96.8,94.5,1.76,2003,Philadelphia 76ers*
2,44,38,.537,5.0,92.7,93.1,-0.75,2003,Boston Celtics*
3,42,40,.512,7.0,98.5,98.4,-0.39,2003,Orlando Magic*
4,37,45,.451,12.0,91.5,92.5,-1.47,2003,Washington Wizards
5,37,45,.451,12.0,95.9,97.2,-1.61,2003,New York Knicks
6,25,57,.305,24.0,85.6,90.6,-5.13,2003,Miami Heat
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2003,Central Division
8,50,32,.610,—,91.4,87.7,2.97,2003,Detroit Pistons*
9,48,34,.585,2.0,96.8,93.3,2.79,2003,Indiana Pacers*
10,47,35,.573,3.0,93.9,91.8,1.52,2003,New Orleans Hornets*
11,42,40,.512,8.0,99.5,99.3,-0.24,2003,Milwaukee Bucks*
12,35,47,.427,15.0,94.1,97.6,-3.87,2003,Atlanta Hawks
13,30,52,.366,20.0,95.0,100.1,-5.31,2003,Chicago Bulls
14,24,58,.293,26.0,90.9,96.8,-6.10,2003,Toronto Raptors
15,17,65,.207,33.0,91.4,101.0,-9.59,2003,Cleveland Cavaliers
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2003,Midwest Division
1,60,22,.732,—,95.8,90.4,5.65,2003,San Antonio Spurs*
2,60,22,.732,—,103.0,95.2,7.90,2003,Dallas Mavericks*
3,51,31,.622,9.0,98.1,96.0,2.46,2003,Minnesota Timberwolves*
4,47,35,.573,13.0,94.7,92.3,2.76,2003,Utah Jazz*
5,43,39,.524,17.0,93.8,92.3,1.89,2003,Houston Rockets
6,28,54,.341,32.0,97.5,100.7,-2.60,2003,Memphis Grizzlies
7,17,65,.207,43.0,84.2,92.4,-7.41,2003,Denver Nuggets
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2003,Pacific Division
9,59,23,.720,—,101.7,95.2,6.68,2003,Sacramento Kings*
10,50,32,.610,9.0,100.4,98.0,2.71,2003,Los Angeles Lakers*
11,50,32,.610,9.0,95.2,92.5,2.97,2003,Portland Trail Blazers*
12,44,38,.537,15.0,95.5,94.4,1.57,2003,Phoenix Suns*
13,40,42,.488,19.0,92.1,92.3,0.37,2003,Seattle SuperSonics
14,38,44,.463,21.0,102.4,103.6,-0.60,2003,Golden State Warriors
15,27,55,.329,32.0,93.8,97.9,-3.45,2003,Los Angeles Clippers
0,47,35,.573,—,90.3,87.8,1.88,2004,New Jersey Nets*
1,42,40,.512,5.0,90.3,89.7,-0.13,2004,Miami Heat*
2,39,43,.476,8.0,92.0,93.5,-1.97,2004,New York Knicks*
3,36,46,.439,11.0,95.3,96.7,-1.99,2004,Boston Celtics*
4,33,49,.402,14.0,88.0,90.5,-2.95,2004,Philadelphia 76ers
5,25,57,.305,22.0,91.8,97.4,-6.12,2004,Washington Wizards
6,21,61,.256,26.0,94.0,101.1,-7.25,2004,Orlando Magic
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2004,Central Division
8,61,21,.744,—,91.4,85.6,4.93,2004,Indiana Pacers*
9,54,28,.659,7.0,90.1,84.3,5.04,2004,Detroit Pistons*
10,41,41,.500,20.0,91.8,91.9,-0.72,2004,New Orleans Hornets*
11,41,41,.500,20.0,98.0,97.0,0.42,2004,Milwaukee Bucks*
12,35,47,.427,26.0,92.9,95.5,-3.07,2004,Cleveland Cavaliers
13,33,49,.402,28.0,85.4,88.5,-3.42,2004,Toronto Raptors
14,28,54,.341,33.0,92.8,97.5,-5.00,2004,Atlanta Hawks
15,23,59,.280,38.0,89.7,96.0,-6.69,2004,Chicago Bulls
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2004,Midwest Division
1,58,24,.707,—,94.5,89.1,5.86,2004,Minnesota Timberwolves*
2,57,25,.695,1.0,91.5,84.3,7.51,2004,San Antonio Spurs*
3,52,30,.634,6.0,105.2,100.8,4.86,2004,Dallas Mavericks*
4,50,32,.610,8.0,96.7,94.3,2.95,2004,Memphis Grizzlies*
5,45,37,.549,13.0,89.8,88.0,2.28,2004,Houston Rockets*
6,43,39,.524,15.0,97.2,96.1,1.65,2004,Denver Nuggets*
7,42,40,.512,16.0,88.7,89.9,-0.53,2004,Utah Jazz
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004,Pacific Division
9,56,26,.683,—,98.2,94.3,4.35,2004,Los Angeles Lakers*
10,55,27,.671,1.0,102.8,97.8,5.41,2004,Sacramento Kings*
11,41,41,.500,15.0,90.7,92.0,-0.58,2004,Portland Trail Blazers
12,37,45,.451,19.0,93.3,94.0,-0.07,2004,Golden State Warriors
13,37,45,.451,19.0,97.1,97.8,0.02,2004,Seattle SuperSonics
14,29,53,.354,27.0,94.2,97.9,-2.94,2004,Phoenix Suns
15,28,54,.341,28.0,94.8,99.4,-3.74,2004,Los Angeles Clippers
0,45,37,.549,—,101.3,100.4,0.35,2005,Boston Celtics*
1,43,39,.524,2.0,99.1,99.9,-1.07,2005,Philadelphia 76ers*
2,42,40,.512,3.0,91.4,92.9,-1.82,2005,New Jersey Nets*
3,33,49,.402,12.0,99.7,101.4,-1.81,2005,Toronto Raptors
4,33,49,.402,12.0,97.3,99.7,-2.72,2005,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2005,Central Division
6,54,28,.659,—,93.3,89.5,3.31,2005,Detroit Pistons*
7,47,35,.573,7.0,94.5,93.4,0.65,2005,Chicago Bulls*
8,44,38,.537,10.0,93.0,92.2,0.49,2005,Indiana Pacers*
9,42,40,.512,12.0,96.5,95.7,0.27,2005,Cleveland Cavaliers
10,30,52,.366,24.0,97.2,100.2,-3.09,2005,Milwaukee Bucks
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2005,Southeast Division
12,59,23,.720,—,101.5,95.0,5.77,2005,Miami Heat*
13,45,37,.549,14.0,100.5,100.8,-0.71,2005,Washington Wizards*
14,36,46,.439,23.0,99.5,101.8,-2.52,2005,Orlando Magic
15,18,64,.220,41.0,94.3,100.2,-6.15,2005,Charlotte Bobcats
16,13,69,.159,46.0,92.7,102.5,-9.62,2005,Atlanta Hawks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005,Northwest Division
1,52,30,.634,—,98.9,96.6,2.59,2005,Seattle SuperSonics*
2,49,33,.598,3.0,99.5,97.5,2.23,2005,Denver Nuggets*
3,44,38,.537,8.0,96.8,95.3,1.73,2005,Minnesota Timberwolves
4,27,55,.329,25.0,92.9,96.9,-3.45,2005,Portland Trail Blazers
5,26,56,.317,26.0,93.0,97.3,-3.74,2005,Utah Jazz
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005,Pacific Division
7,62,20,.756,—,110.4,103.3,7.08,2005,Phoenix Suns*
8,50,32,.610,12.0,103.7,101.6,2.56,2005,Sacramento Kings*
9,37,45,.451,25.0,95.7,96.5,-0.47,2005,Los Angeles Clippers
10,34,48,.415,28.0,98.7,101.7,-2.32,2005,Los Angeles Lakers
11,34,48,.415,28.0,98.7,100.9,-1.74,2005,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005,Southwest Division
13,59,23,.720,—,96.2,88.4,7.84,2005,San Antonio Spurs*
14,58,24,.707,1.0,102.5,96.8,5.86,2005,Dallas Mavericks*
15,51,31,.622,8.0,95.1,91.0,4.27,2005,Houston Rockets*
16,45,37,.549,14.0,93.4,91.1,2.64,2005,Memphis Grizzlies*
17,18,64,.220,41.0,88.4,95.5,-6.30,2005,New Orleans Hornets
0,49,33,.598,—,93.8,92.4,1.11,2006,New Jersey Nets*
1,38,44,.463,11.0,99.4,101.3,-2.10,2006,Philadelphia 76ers
2,33,49,.402,16.0,98.0,99.5,-1.59,2006,Boston Celtics
3,27,55,.329,22.0,101.1,104.0,-3.03,2006,Toronto Raptors
4,23,59,.280,26.0,95.6,102.0,-6.30,2006,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2006,Central Division
6,64,18,.780,—,96.8,90.2,6.24,2006,Detroit Pistons*
7,50,32,.610,14.0,97.6,95.4,2.17,2006,Cleveland Cavaliers*
8,41,41,.500,23.0,93.9,92.0,1.62,2006,Indiana Pacers*
9,41,41,.500,23.0,97.8,97.2,0.51,2006,Chicago Bulls*
10,40,42,.488,24.0,97.8,98.8,-1.07,2006,Milwaukee Bucks*
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2006,Southeast Division
12,52,30,.634,—,99.9,96.0,3.59,2006,Miami Heat*
13,42,40,.512,10.0,101.7,99.8,1.57,2006,Washington Wizards*
14,36,46,.439,16.0,94.9,96.0,-1.26,2006,Orlando Magic
15,26,56,.317,26.0,96.9,100.9,-3.90,2006,Charlotte Bobcats
16,26,56,.317,26.0,97.2,102.0,-4.69,2006,Atlanta Hawks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2006,Northwest Division
1,44,38,.537,—,100.3,100.1,0.36,2006,Denver Nuggets*
2,41,41,.500,3.0,92.4,95.0,-2.49,2006,Utah Jazz
3,35,47,.427,9.0,102.6,105.6,-2.88,2006,Seattle SuperSonics
4,33,49,.402,11.0,91.7,93.6,-1.75,2006,Minnesota Timberwolves
5,21,61,.256,23.0,88.8,98.3,-8.91,2006,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2006,Pacific Division
7,54,28,.659,—,108.4,102.8,5.48,2006,Phoenix Suns*
8,47,35,.573,7.0,97.2,95.6,1.75,2006,Los Angeles Clippers*
9,45,37,.549,9.0,99.4,96.9,2.53,2006,Los Angeles Lakers*
10,44,38,.537,10.0,98.9,97.3,1.61,2006,Sacramento Kings*
11,34,48,.415,20.0,98.5,99.8,-1.11,2006,Golden State Warriors
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2006,Southwest Division
13,63,19,.768,—,95.6,88.8,6.69,2006,San Antonio Spurs*
14,60,22,.732,3.0,99.1,93.1,5.96,2006,Dallas Mavericks*
15,49,33,.598,14.0,92.2,88.5,3.74,2006,Memphis Grizzlies*
16,38,44,.463,25.0,92.8,95.6,-2.51,2006,New Orleans/Oklahoma City Hornets
17,34,48,.415,29.0,90.1,91.7,-1.30,2006,Houston Rockets
0,47,35,.573,—,99.5,98.5,0.61,2007,Toronto Raptors*
1,41,41,.500,6.0,97.6,98.3,-1.00,2007,New Jersey Nets*
2,35,47,.427,12.0,94.9,98.0,-3.26,2007,Philadelphia 76ers
3,33,49,.402,14.0,97.5,100.3,-3.06,2007,New York Knicks
4,24,58,.293,23.0,95.8,99.2,-3.70,2007,Boston Celtics
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2007,Central Division
6,53,29,.646,—,96.0,91.8,3.69,2007,Detroit Pistons*
7,50,32,.610,3.0,96.8,92.9,3.33,2007,Cleveland Cavaliers*
8,49,33,.598,4.0,98.8,93.8,4.52,2007,Chicago Bulls*
9,35,47,.427,18.0,95.6,98.0,-2.62,2007,Indiana Pacers
10,28,54,.341,25.0,99.7,104.0,-4.43,2007,Milwaukee Bucks
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2007,Southeast Division
12,44,38,.537,—,94.6,95.5,-1.21,2007,Miami Heat*
13,41,41,.500,3.0,104.3,104.9,-0.80,2007,Washington Wizards*
14,40,42,.488,4.0,94.8,94.0,0.35,2007,Orlando Magic*
15,33,49,.402,11.0,96.9,100.6,-3.97,2007,Charlotte Bobcats
16,30,52,.366,14.0,93.7,98.4,-4.86,2007,Atlanta Hawks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007,Northwest Division
1,51,31,.622,—,101.5,98.6,3.06,2007,Utah Jazz*
2,45,37,.549,6.0,105.4,103.7,1.69,2007,Denver Nuggets*
3,32,50,.390,19.0,94.1,98.4,-3.78,2007,Portland Trail Blazers
4,32,50,.390,19.0,96.1,99.7,-3.16,2007,Minnesota Timberwolves
5,31,51,.378,20.0,99.1,102.0,-2.45,2007,Seattle SuperSonics
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007,Pacific Division
7,61,21,.744,—,110.2,102.9,7.28,2007,Phoenix Suns*
8,42,40,.512,19.0,103.3,103.4,0.24,2007,Los Angeles Lakers*
9,42,40,.512,19.0,106.5,106.9,0.00,2007,Golden State Warriors*
10,40,42,.488,21.0,95.6,96.1,-0.07,2007,Los Angeles Clippers
11,33,49,.402,28.0,101.3,103.1,-1.35,2007,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007,Southwest Division
13,67,15,.817,—,100.0,92.8,7.28,2007,Dallas Mavericks*
14,58,24,.707,9.0,98.5,90.1,8.35,2007,San Antonio Spurs*
15,52,30,.634,15.0,97.0,92.1,5.04,2007,Houston Rockets*
16,39,43,.476,28.0,95.5,97.1,-1.19,2007,New Orleans/Oklahoma City Hornets
17,22,60,.268,45.0,101.6,106.7,-4.44,2007,Memphis Grizzlies
0,66,16,.805,—,100.5,90.3,9.30,2008,Boston Celtics*
1,41,41,.500,25.0,100.2,97.3,2.47,2008,Toronto Raptors*
2,40,42,.488,26.0,96.6,96.2,0.19,2008,Philadelphia 76ers*
3,34,48,.415,32.0,95.8,100.9,-5.15,2008,New Jersey Nets
4,23,59,.280,43.0,96.9,103.5,-6.55,2008,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2008,Central Division
6,59,23,.720,—,97.5,90.1,6.67,2008,Detroit Pistons*
7,45,37,.549,14.0,96.4,96.7,-0.53,2008,Cleveland Cavaliers*
8,36,46,.439,23.0,104.0,105.4,-1.87,2008,Indiana Pacers
9,33,49,.402,26.0,97.3,100.4,-3.19,2008,Chicago Bulls
10,26,56,.317,33.0,97.0,103.9,-6.92,2008,Milwaukee Bucks
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2008,Southeast Division
12,52,30,.634,—,104.5,99.0,4.79,2008,Orlando Magic*
13,43,39,.524,9.0,98.8,99.2,-0.61,2008,Washington Wizards*
14,37,45,.451,15.0,98.2,100.0,-2.23,2008,Atlanta Hawks*
15,32,50,.390,20.0,97.1,101.4,-4.49,2008,Charlotte Bobcats
16,15,67,.183,37.0,91.4,100.0,-8.53,2008,Miami Heat
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008,Northwest Division
1,54,28,.659,—,106.2,99.3,6.86,2008,Utah Jazz*
2,50,32,.610,4.0,110.7,107.0,3.74,2008,Denver Nuggets*
3,41,41,.500,13.0,95.4,96.3,-0.52,2008,Portland Trail Blazers
4,22,60,.268,32.0,95.6,102.4,-6.26,2008,Minnesota Timberwolves
5,20,62,.244,34.0,97.5,106.3,-8.04,2008,Seattle SuperSonics
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Pacific Division
7,57,25,.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers*
8,55,27,.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns*
9,48,34,.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors
10,38,44,.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings
11,23,59,.280,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Southwest Division
13,56,26,.683,—,100.9,95.6,5.46,2008,New Orleans Hornets*
14,56,26,.683,—,95.4,90.6,5.10,2008,San Antonio Spurs*
15,55,27,.671,1.0,96.7,92.0,4.83,2008,Houston Rockets*
16,51,31,.622,5.0,100.4,95.9,4.70,2008,Dallas Mavericks*
17,22,60,.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies
0,62,20,.756,—,100.9,93.4,7.44,2009,Boston Celtics*
1,41,41,.500,21.0,97.4,97.3,0.16,2009,Philadelphia 76ers*
2,34,48,.415,28.0,98.1,100.5,-2.31,2009,New Jersey Nets
3,33,49,.402,29.0,99.0,101.9,-2.54,2009,Toronto Raptors
4,32,50,.390,30.0,105.2,107.8,-2.33,2009,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2009,Central Division
6,66,16,.805,—,100.3,91.4,8.68,2009,Cleveland Cavaliers*
7,41,41,.500,25.0,102.2,102.5,-0.16,2009,Chicago Bulls*
8,39,43,.476,27.0,94.2,94.7,-0.36,2009,Detroit Pistons*
9,36,46,.439,30.0,105.1,106.2,-0.76,2009,Indiana Pacers
10,34,48,.415,32.0,99.3,100.4,-0.88,2009,Milwaukee Bucks
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2009,Southeast Division
12,59,23,.720,—,101.0,94.4,6.48,2009,Orlando Magic*
13,47,35,.573,12.0,98.1,96.5,1.70,2009,Atlanta Hawks*
14,43,39,.524,16.0,98.3,98.0,0.49,2009,Miami Heat*
15,35,47,.427,24.0,93.6,94.9,-1.20,2009,Charlotte Bobcats
16,19,63,.232,40.0,96.1,103.5,-6.98,2009,Washington Wizards
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Northwest Division
1,54,28,.659,—,104.3,100.9,3.13,2009,Denver Nuggets*
2,54,28,.659,—,99.4,94.1,5.00,2009,Portland Trail Blazers*
3,48,34,.585,6.0,103.6,100.9,2.31,2009,Utah Jazz*
4,24,58,.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves
5,23,59,.280,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Pacific Division
7,65,17,.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers*
8,46,36,.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns
9,29,53,.354,36.0,108.6,112.3,-3.80,2009,Golden State Warriors
10,19,63,.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers
11,17,65,.207,48.0,100.6,109.3,-8.60,2009,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Southwest Division
13,54,28,.659,—,97.0,93.3,3.36,2009,San Antonio Spurs*
14,53,29,.646,1.0,98.4,94.4,3.73,2009,Houston Rockets*
15,50,32,.610,4.0,101.7,99.8,1.68,2009,Dallas Mavericks*
16,49,33,.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets*
17,24,58,.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
0,50,32,.610,—,99.2,95.6,3.37,2010,Boston Celtics*
1,40,42,.488,10.0,104.1,105.9,-1.83,2010,Toronto Raptors
2,29,53,.354,21.0,102.1,105.9,-4.01,2010,New York Knicks
3,27,55,.329,23.0,97.7,101.6,-3.93,2010,Philadelphia 76ers
4,12,70,.146,38.0,92.4,101.5,-8.93,2010,New Jersey Nets
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2010,Central Division
6,61,21,.744,—,102.1,95.6,6.17,2010,Cleveland Cavaliers*
7,46,36,.561,15.0,97.7,96.0,1.37,2010,Milwaukee Bucks*
8,41,41,.500,20.0,97.5,99.1,-1.64,2010,Chicago Bulls*
9,32,50,.390,29.0,100.8,103.8,-3.11,2010,Indiana Pacers
10,27,55,.329,34.0,94.0,99.1,-5.02,2010,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2010,Southeast Division
12,59,23,.720,—,102.8,95.3,7.12,2010,Orlando Magic*
13,53,29,.646,6.0,101.7,97.0,4.44,2010,Atlanta Hawks*
14,47,35,.573,12.0,96.5,94.2,1.99,2010,Miami Heat*
15,44,38,.537,15.0,95.3,93.8,1.30,2010,Charlotte Bobcats*
16,26,56,.317,33.0,96.2,101.0,-4.72,2010,Washington Wizards
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Northwest Division
1,53,29,.646,—,106.5,102.4,4.15,2010,Denver Nuggets*
2,53,29,.646,—,104.2,98.9,5.33,2010,Utah Jazz*
3,50,32,.610,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers*
4,50,32,.610,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder*
5,15,67,.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Pacific Division
7,57,25,.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers*
8,54,28,.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns*
9,29,53,.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
10,26,56,.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
11,25,57,.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Southwest Division
13,55,27,.671,—,102.0,99.3,2.66,2010,Dallas Mavericks*
14,50,32,.610,5.0,101.4,96.3,5.07,2010,San Antonio Spurs*
15,42,40,.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
16,40,42,.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
17,37,45,.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
0,56,26,.683,—,96.5,91.1,4.83,2011,Boston Celtics*
1,42,40,.512,14.0,106.5,105.7,0.48,2011,New York Knicks*
2,41,41,.500,15.0,99.0,97.5,1.01,2011,Philadelphia 76ers*
3,24,58,.293,32.0,94.2,100.4,-6.28,2011,New Jersey Nets
4,22,60,.268,34.0,99.1,105.4,-6.28,2011,Toronto Raptors
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2011,Central Division
6,62,20,.756,—,98.6,91.3,6.53,2011,Chicago Bulls*
7,37,45,.451,25.0,99.8,100.9,-1.38,2011,Indiana Pacers*
8,35,47,.427,27.0,91.9,92.7,-1.02,2011,Milwaukee Bucks
9,30,52,.366,32.0,97.0,100.6,-3.78,2011,Detroit Pistons
10,19,63,.232,43.0,95.5,104.5,-8.88,2011,Cleveland Cavaliers
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2011,Southeast Division
12,58,24,.707,—,102.1,94.6,6.76,2011,Miami Heat*
13,52,30,.634,6.0,99.2,93.7,4.92,2011,Orlando Magic*
14,44,38,.537,14.0,95.0,95.8,-1.10,2011,Atlanta Hawks*
15,34,48,.415,24.0,93.3,97.3,-4.08,2011,Charlotte Bobcats
16,23,59,.280,35.0,97.3,104.7,-7.30,2011,Washington Wizards
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Northwest Division
1,55,27,.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder*
2,50,32,.610,5.0,107.5,102.7,4.81,2011,Denver Nuggets*
3,48,34,.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers*
4,39,43,.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz
5,17,65,.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2011,Pacific Division
7,57,25,.695,—,101.5,95.4,6.01,2011,Los Angeles Lakers*
8,40,42,.488,17.0,105.0,105.9,-0.46,2011,Phoenix Suns
9,36,46,.439,21.0,103.4,105.7,-2.00,2011,Golden State Warriors
10,32,50,.390,25.0,98.6,101.8,-2.71,2011,Los Angeles Clippers
11,24,58,.293,33.0,99.4,104.7,-4.80,2011,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2011,Southwest Division
13,61,21,.744,—,103.7,98.0,5.86,2011,San Antonio Spurs*
14,57,25,.695,4.0,100.2,96.0,4.41,2011,Dallas Mavericks*
15,46,36,.561,15.0,94.9,94.0,1.28,2011,New Orleans Hornets*
16,46,36,.561,15.0,99.9,97.6,2.55,2011,Memphis Grizzlies*
17,43,39,.524,18.0,105.9,103.7,2.37,2011,Houston Rockets
0,39,27,.591,—,91.8,89.3,2.26,2012,Boston Celtics*
1,36,30,.545,3.0,97.8,94.7,2.39,2012,New York Knicks*
2,35,31,.530,4.0,93.6,89.4,3.59,2012,Philadelphia 76ers*
3,23,43,.348,16.0,90.7,94.0,-3.67,2012,Toronto Raptors
4,22,44,.333,17.0,93.1,99.1,-6.37,2012,New Jersey Nets
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2012,Central Division
6,50,16,.758,—,96.3,88.2,7.43,2012,Chicago Bulls*
7,42,24,.636,8.0,97.7,94.4,2.60,2012,Indiana Pacers*
